,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp
496,Selangor,P.111 Kota Raja,5,Mohamad Bin Sabu,MOHD SABU,68.0,male,bumiputera,PAKATAN HARAPAN (PH),123306,1,won,0
503,Selangor,P.112 Kuala Langat,4,Ahmad Yunus Bin Hairi,DR AHMAD YUNUS HAIRI,57.0,male,bumiputera,PERIKATAN NASIONAL (PN),52867,1,won,1
509,Selangor,P.113 Sepang,4,Raj Munni Binti Sabu,AIMAN ATHIRAH,50.0,female,bumiputera,PAKATAN HARAPAN (PH),56264,1,won,1
517,W.P. Kuala Lumpur,P.114 Kepong,4,Lim Lip Eng,LIM LIP ENG,50.0,male,chinese,PAKATAN HARAPAN (PH),64308,1,won,0
521,W.P. Kuala Lumpur,P.115 Batu,3,Prabakaran A/L M Parameswaran,PRABAKARAN PARAMESWARAN,26.0,male,indian,PAKATAN HARAPAN (PH),45716,1,won,0
529,W.P. Kuala Lumpur,P.116 Wangsa Maju,1,Zahir Bin Hassan,ZAHIR HASSAN,63.0,male,bumiputera,PAKATAN HARAPAN (PH),46031,1,won,1
537,W.P. Kuala Lumpur,P.117 Segambut,3,Yeoh Tseow Suan,HANNAH YEOH,43.0,female,chinese,PAKATAN HARAPAN (PH),68438,1,won,0
538,W.P. Kuala Lumpur,P.118 Setiawangsa,1,Nik Nazmi Bin Nik Ahmad,NIK NAZMI NIK AHMAD,40.0,male,bumiputera,PAKATAN HARAPAN (PH),34434,1,won,0
547,W.P. Kuala Lumpur,P.119 Titiwangsa,4,Johari Bin Abdul Ghani,DATUK SERI JOHARI GHANI,58.0,male,bumiputera,BARISAN NASIONAL (BN),25042,1,won,0
549,W.P. Kuala Lumpur,P.120 Bukit Bintang,2,Fong Kui Lun,FONG KUI LUN,76.0,male,chinese,PAKATAN HARAPAN (PH),43827,1,won,0
553,W.P. Kuala Lumpur,P.121 Lembah Pantai,3,Ahmad Fahmi Bin Mohamed Fadzil,FAHMI FADZIL,41.0,male,bumiputera,PAKATAN HARAPAN (PH),35359,1,won,0
558,W.P. Kuala Lumpur,P.122 Seputeh,4,Teresa Kok Suh Sim,TERESA KOK,58.0,female,chinese,PAKATAN HARAPAN (PH),73234,1,won,0
560,W.P. Kuala Lumpur,P.123 Cheras,1,Tan Kok Wai,TAN KOK WAI,65.0,male,chinese,PAKATAN HARAPAN (PH),60294,1,won,0
563,W.P. Kuala Lumpur,P.124 Bandar Tun Razak,1,Wan Azizah Binti Wan Ismail,DATO' SERI DR WAN AZIZAH BINTI WAN ISMAIL,70.0,female,bumiputera,PAKATAN HARAPAN (PH),43476,1,won,0
570,W.P. Putrajaya,P.125 Putrajaya,5,Mohd Radzi Bin Md Jidin,DR. RADZI JIDIN (DRJ),45.0,male,bumiputera,PERIKATAN NASIONAL (PN),16002,1,won,1
573,Negeri Sembilan,P.126 Jelebu,2,Jalaluddin Bin Alias,JALALUDDIN BIN ALIAS,59.0,male,bumiputera,BARISAN NASIONAL (BN),21805,1,won,0
578,Negeri Sembilan,P.127 Jempol,3,Shamshulkahar Bin Mohd Deli,DATO' HAJI SHAMSHULKAHAR BIN HAJI MOHD DELI,61.0,male,bumiputera,BARISAN NASIONAL (BN),30138,1,won,1
580,Negeri Sembilan,P.128 Seremban,1,Loke Siew Fook,LOKE SIEW FOOK,45.0,male,chinese,PAKATAN HARAPAN (PH),63916,1,won,0
589,Negeri Sembilan,P.129 Kuala Pilah,5,Adnan Bin Abu Hassan,DATO' HJ ADNAN HJ ABU HASSAN,52.0,male,bumiputera,BARISAN NASIONAL (BN),21423,1,won,1
592,Negeri Sembilan,P.130 Rasah,3,Cha Kee Chin,CHA KEE CHIN,48.0,male,chinese,PAKATAN HARAPAN (PH),81434,1,won,0
594,Negeri Sembilan,P.131 Rembau,2,Mohamad Bin Haji Hasan,TOK MAT,66.0,male,bumiputera,BARISAN NASIONAL (BN),53075,1,won,1
602,Negeri Sembilan,P.132 Port Dickson,5,Aminuddin Bin Harun,DATO' SERI AMINUDDIN BIN HARUN,55.0,male,bumiputera,PAKATAN HARAPAN (PH),42013,1,won,1
603,Negeri Sembilan,P.133 Tampin,1,Mohd Isam Bin Mohd Isa,MOHD ISAM BIN MOHD ISA,53.0,male,bumiputera,BARISAN NASIONAL (BN),23283,1,won,1
608,Melaka,P.134 Masjid Tanah,2,Mas Ermieyati Binti Samsudin,MAS ERMIEYATI,46.0,female,bumiputera,PERIKATAN NASIONAL (PN),25604,1,won,0
612,Melaka,P.135 Alor Gajah,2,Adly Bin Zahari,ADLY ZAHARI,51.0,male,bumiputera,PAKATAN HARAPAN (PH),28178,1,won,1
617,Melaka,P.136 Tangga Batu,3,Bakri Bin Jamaluddin,BAKRI JAMALUDDIN,57.0,male,bumiputera,PERIKATAN NASIONAL (PN),37406,1,won,1
620,Melaka,P.137 Hang Tuah Jaya,1,Adam Adli Bin Abd Halim,ADAM ADLI,33.0,male,bumiputera,PAKATAN HARAPAN (PH),39418,1,won,1
624,Melaka,P.138 Kota Melaka,1,Khoo Poay Tiong,KHOO POAY TIONG,51.0,male,chinese,PAKATAN HARAPAN (PH),73995,1,won,0
631,Melaka,P.139 Jasin,4,Zulkifli Bin Ismail,TUAN GURU ZULKIFLI ISMAIL,56.0,male,bumiputera,PERIKATAN NASIONAL (PN),27893,1,won,1
634,Johor,P.140 Segamat,3,Yuneswaran A/L Ramaraj,R. YUNESWARAN,36.0,male,indian,PAKATAN HARAPAN (PH),23437,1,won,1
639,Johor,P.141 Sekijang,4,Zaliha Binti Mustafa,DR. ZALIHA MUSTAFA,58.0,female,bumiputera,PAKATAN HARAPAN (PH),18941,1,won,1
642,Johor,P.142 Labis,2,Pang Hok Liong,PANG HOK LIONG,65.0,male,chinese,PAKATAN HARAPAN (PH),16133,1,won,0
645,Johor,P.143 Pagoh,2,Mahiaddin Bin Md Yasin,TAN SRI MUHYIDDIN BIN MD YASIN,75.0,male,bumiputera,PERIKATAN NASIONAL (PN),24986,1,won,0
647,Johor,P.144 Ledang,1,Syed Ibrahim Bin Syed Noh,SYED IBRAHIM SYED NOH,58.0,male,bumiputera,PAKATAN HARAPAN (PH),33650,1,won,0
655,Johor,P.145 Bakri,3,Tan Hong Pin,TAN HONG PIN,41.0,male,chinese,PAKATAN HARAPAN (PH),36636,1,won,1
659,Johor,P.146 Muar,3,Syed Saddiq Bin Syed Abdul Rahman,SYED SADDIQ,29.0,male,bumiputera,IKATAN DEMOKRATIK MALAYSIA (MUDA),19961,1,won,0
660,Johor,P.147 Parit Sulong,1,Noraini Binti Ahmad,NORAINI AHMAD,55.0,female,bumiputera,BARISAN NASIONAL (BN),25740,1,won,0
663,Johor,P.148 Ayer Hitam,1,Wee Ka Siong,WEE KA SIONG,54.0,male,chinese,BARISAN NASIONAL (BN),18911,1,won,0
666,Johor,P.149 Sri Gading,1,Aminolhuda Bin Hassan,CIKGU HUDA,63.0,male,bumiputera,PAKATAN HARAPAN (PH),23242,1,won,1
670,Johor,P.150 Batu Pahat,1,Onn Bin Abu Bakar,ONN BIN ABU BAKAR,59.0,male,bumiputera,PAKATAN HARAPAN (PH),45242,1,won,1
678,Johor,P.151 Simpang Renggam,4,Hasni Bin Mohammad,HASNI BIN MOHAMMAD,63.0,male,bumiputera,BARISAN NASIONAL (BN),18312,1,won,1
680,Johor,P.152 Kluang,2,Wong Shu Qi,WONG SHU QI,39.0,female,bumiputera,PAKATAN HARAPAN (PH),49801,1,won,0
683,Johor,P.153 Sembrong,1,Hishammuddin Bin Datuk Hussein,HISHAMMUDDIN HUSSEIN,61.0,male,bumiputera,BARISAN NASIONAL (BN),22572,1,won,0
688,Johor,P.154 Mersing,3,Muhammad Islahuddin Bin Abas,ISLAHUDDIN ABAS,34.0,male,bumiputera,PERIKATAN NASIONAL (PN),21066,1,won,1
691,Johor,P.155 Tenggara,1,Manndzri Bin Nasib,MANNDZRI BIN NASIB,42.0,male,bumiputera,BARISAN NASIONAL (BN),21185,1,won,1
695,Johor,P.156 Kota Tinggi,1,Mohamed Khaled Bin Nordin,KHALED NORDIN,64.0,male,bumiputera,BARISAN NASIONAL (BN),25410,1,won,0
699,Johor,P.157 Pengerang,2,Azalina Binti Othman,AZALINA OTHMAN SAID,58.0,female,bumiputera,BARISAN NASIONAL (BN),21738,1,won,0
701,Johor,P.158 Tebrau,1,Jimmy Puah Wee Tse,JIMMY PUAH WEE TSE,46.0,male,chinese,PAKATAN HARAPAN (PH),83959,1,won,1
705,Johor,P.159 Pasir Gudang,2,Hassan Bin Abdul Karim,HASSAN ABDUL KARIM,71.0,male,bumiputera,PAKATAN HARAPAN (PH),71233,1,won,0
711,Johor,P.160 Johor Bahru,4,Akmal Nasrullah Bin Mohd Nasir,AKMAL NASIR,36.0,male,bumiputera,PAKATAN HARAPAN (PH),43252,1,won,0
714,Johor,P.161 Pulai,3,Salahuddin Bin Ayub,DATUK SERI SALAHUDDIN AYUB,61.0,male,bumiputera,PAKATAN HARAPAN (PH),64900,1,won,0
717,Johor,P.162 Iskandar Puteri,3,Liew Chin Tong,LIEW CHIN TONG,45.0,male,chinese,PAKATAN HARAPAN (PH),96819,1,won,0
719,Johor,P.163 Kulai,2,Teo Nie Ching,TEO NIE CHING,41.0,female,chinese,PAKATAN HARAPAN (PH),65529,1,won,0
722,Johor,P.164 Pontian,2,Ahmad Bin Maslan,DATUK SERI AHMAD MASLAN,56.0,male,bumiputera,BARISAN NASIONAL (BN),23201,1,won,0
726,Johor,P.165 Tanjung Piai,2,Wee Jeck Seng,WEE JECK SENG,58.0,male,chinese,BARISAN NASIONAL (BN),23593,1,won,0
729,W.P. Labuan,P.166 Labuan,2,Suhaili Bin Abdul Rahman,DATO' DR. SUHAILI ABDUL RAHMAN,61.0,male,bumiputera,PERIKATAN NASIONAL (PN),8124,1,won,1
737,Sabah,P.167 Kudat,4,Verdon Bin Bahanda,VERDON BIN BAHANDA,49.0,male,bumiputera,BEBAS (BEBAS),16323,1,won,1
744,Sabah,P.168 Kota Marudu,6,Wetrom Bin Bahanda, DATUK WETROM BAHANDA,52.0,male,bumiputera,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM),24318,1,won,1
747,Sabah,P.169 Kota Belud,3,Isnaraissah Munirah Bt Majilis@Fakharudy,MUNIRAH MAJILIS,40.0,female,bumiputera,PARTI WARISAN SABAH (WARISAN),25148,1,won,0
748,Sabah,P.170 Tuaran,1,Madius Bin Tangau,MADIUS TANGAU,64.0,male,bumiputera,PAKATAN HARAPAN (PH),24943,1,won,0
757,Sabah,P.171 Sepanggar,4,Mustapha @ Mohd Yunus Bin Sakmud,MUSTAPHA SAKMUD,53.0,male,bumiputera,PAKATAN HARAPAN (PH),27022,1,won,1
762,Sabah,P.172 Kota Kinabalu,4,Chan Foong Hin,CHAN FOONG HIN,43.0,male,chinese,PAKATAN HARAPAN (PH),31359,1,won,0
765,Sabah,P.173 Putatan,2,Shahelmey Bin Yahya,SHAHELMEY BIN YAHYA,49.0,male,bumiputera,BARISAN NASIONAL (BN),16234,1,won,1
768,Sabah,P.174 Penampang,1,Ewon Benedick,EWON BENEDICK,39.0,male,bumiputera,PAKATAN HARAPAN (PH),29066,1,won,1
777,Sabah,P.175 Papar,6,Armizan Bin Mohd Ali,DATUK ARMIZAN BIN MOHD ALI,46.0,male,bumiputera,PARTI GABUNGAN RAKYAT SABAH (GRS),22620,1,won,1
778,Sabah,P.176 Kimanis,1,Mohamad Bin Alamin,MOHAMAD BIN ALAMIN,50.0,male,bumiputera,BARISAN NASIONAL (BN),13004,1,won,1
787,Sabah,P.177 Beaufort,5,Siti Aminah Binti Aching,DATUK SITI AMINAH BINTI ACHING,60.0,female,bumiputera,BARISAN NASIONAL (BN),10570,1,won,1
789,Sabah,P.178 Sipitang,1,Matbali Bin Musah,DATUK MATBALI BIN MUSAH,53.0,male,bumiputera,PARTI GABUNGAN RAKYAT SABAH (GRS),14459,1,won,1
793,Sabah,P.179 Ranau,2,Jonathan Bin Yasin,JONATHAN YASIN,55.0,male,bumiputera,PARTI GABUNGAN RAKYAT SABAH (GRS),22606,1,won,0
799,Sabah,P.180 Keningau,3,Gapari Bin Katingan @ Geoffrey Kitingan,DATUK SERI PANGLIMA DR.JEFFREY G.KITINGAN,75.0,male,bumiputera,PARTI GABUNGAN RAKYAT SABAH (GRS),23155,1,won,0
803,Sabah,P.181 Tenom,3,Riduan Bin Rubin,RIDUAN BIN RUBIN,35.0,male,bumiputera,BEBAS (BEBAS),10027,1,won,1
810,Sabah,P.182 Pensiangan,5,Arthur Joseph Kurup,DATUK ARTHUR JOSEPH KURUP,40.0,male,bumiputera,BARISAN NASIONAL (BN),19623,1,won,0
814,Sabah,P.183 Beluran,4,Ronald Kiandee,RONALD KIANDEE,61.0,male,bumiputera,PERIKATAN NASIONAL (PN),11303,1,won,0
821,Sabah,P.184 Libaran,6,Suhaimi Bin Nasir,SUHAIMI BIN NASIR,54.0,male,bumiputera,BARISAN NASIONAL (BN),22969,1,won,1
826,Sabah,P.185 Batu Sapi,5,Khairul Firdaus Bin Akbar Khan,KHAIRUL FIRDAUS AKBAR KHAN,39.0,male,bumiputera,PARTI GABUNGAN RAKYAT SABAH (GRS),12152,1,won,1
830,Sabah,P.186 Sandakan,4,Vivian Wong Shir Yee,VIVIAN WONG SHIR YEE,33.0,female,chinese,PAKATAN HARAPAN (PH),16673,1,won,1
834,Sabah,P.187 Kinabatangan,2,Moktar Bin Radin,BUNG MOKTAR BIN RADIN,63.0,male,bumiputera,BARISAN NASIONAL (BN),16842,1,won,0
836,Sabah,P.188 Lahad Datu,2,Mohammad Yusof Bin Bin Apdal,DATO' HJ MOHAMMAD YUSOF BIN APDAL,62.0,male,bumiputera,PARTI WARISAN SABAH (WARISAN),27116,1,won,1
839,Sabah,P.189 Semporna,2,Mohd Shafie Bin Apdal,MOHD SHAFIE APDAL,65.0,male,bumiputera,PARTI WARISAN SABAH (WARISAN),28702,1,won,0
847,Sabah,P.190 Tawau,6,Lo Su Fui,LO SU FUI,41.0,male,chinese,PARTI GABUNGAN RAKYAT SABAH (GRS),19865,1,won,1
849,Sabah,P.191 Kalabakan,2,Andi Muhammad Suryady Bin Bandy,ANDI MUHAMMAD SURYADY BIN BANDY,41.0,male,bumiputera,BARISAN NASIONAL (BN),23855,1,won,1
855,Sarawak,P.192 Mas Gading,3,Mordi Anak Bimol,MORDI ANAK BIMOL,37.0,male,bumiputera,PARTI TINDAKAN DEMOKRATIK (DAP),17274,1,won,0
856,Sarawak,P.193 Santubong,1,Nancy Binti Shukri,NANCY SHUKRI,61.0,female,bumiputera,GABUNGAN PARTI SARAWAK (GPS),43739,1,won,0
859,Sarawak,P.194 Petra Jaya,1,Fadillah Bin Yusof,FADILLAH BIN YUSOF,60.0,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),54745,1,won,0
864,Sarawak,P.195 Bandar Kuching,3,Kelvin Yii Lee Wuen,KELVIN YII LEE WUEN,36.0,male,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),45353,1,won,0
865,Sarawak,P.196 Stampin,1,Chong Chieng Jen,CHONG CHIENG JEN,51.0,male,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),39310,1,won,0
868,Sarawak,P.197 Kota Samarahan,1,Rubiah Binti Wang,DATUK HJH RUBIAH BINTI WANG,54.0,female,bumiputera,GABUNGAN PARTI SARAWAK (GPS),42278,1,won,0
870,Sarawak,P.198 Puncak Borneo,1,Willie Anak Mongin,WILLIE ANAK MONGIN,47.0,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),29457,1,won,0
874,Sarawak,P.199 Serian,2,Richard Riot Anak Jaem,DATO' SRI RICHARD RIOT ANAK JAEM,71.0,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),22876,1,won,0
877,Sarawak,P.200 Batang Sadong,1,Rodiyah Binti Sapiee,RODIYAH BINTI SAPIEE,44.0,female,bumiputera,GABUNGAN PARTI SARAWAK (GPS),18668,1,won,1
879,Sarawak,P.201 Batang Lupar,1,Mohamad Shafizan Haji Kepli,MOHAMAD SHAFIZAN,37.0,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),19627,1,won,1
882,Sarawak,P.202 Sri Aman,1,Doris Sophia Anak Brodi,DORIS SOPHIA ANAK BRODI,62.0,female,bumiputera,GABUNGAN PARTI SARAWAK (GPS),14131,1,won,1
888,Sarawak,P.203 Lubok Antu,3,Roy Angau Anak Gingkoi,ROY ANGAU ANAK GINGKOI,43.0,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),6644,1,won,1
892,Sarawak,P.204 Betong,3,Richard Rapu @ Aman Anak Begri,DR. RICHARD RAPU,58.0,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),16479,1,won,1
894,Sarawak,P.205 Saratok,2,Ali Anak Biju,DATUK ALI BIJU,54.0,male,bumiputera,PERIKATAN NASIONAL (PN),19223,1,won,0
896,Sarawak,P.206 Tanjong Manis,1,Yusuf Bin Abd Wahab,IR. YUSUF ABD WAHAB,58.0,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),16474,1,won,0
898,Sarawak,P.207 Igan,1,Ahmad Johnie Bin Zawawi,AHMAD JOHNIE BIN ZAWAWI,60.0,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),15824,1,won,0
900,Sarawak,P.208 Sarikei,1,Huang Tiong Sii,HUANG TIONG SII,53.0,male,chinese,GABUNGAN PARTI SARAWAK (GPS),20080,1,won,1
904,Sarawak,P.209 Julau,3,Larry Soon @ Larry Sng Wei Shien,LARRY SOON @ LARRY SNG WEI SHIEN,43.0,male,chinese,PARTI BANGSA MALAYSIA (PBM),9159,1,won,0
908,Sarawak,P.210 Kanowit,3,Ago Anak Dagang,AARON AGO ANAK DAGANG,63.0,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),7411,1,won,0
913,Sarawak,P.211 Lanang,3,Alice Lau Kiong Yieng,ALICE LAU KIONG YIENG,41.0,female,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),30120,1,won,0
915,Sarawak,P.212 Sibu,1,Oscar Ling Chai Yew,OSCAR LING CHAI YEW,45.0,male,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),31287,1,won,0
918,Sarawak,P.213 Mukah,1,Hanifah Hajar Taib,HANIFAH HAJAR TAIB,50.0,female,bumiputera,GABUNGAN PARTI SARAWAK (GPS),21733,1,won,0
921,Sarawak,P.214 Selangau,2,Edwin Anak Banta,EDWIN ANAK BANTA,57.0,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),16078,1,won,1
923,Sarawak,P.215 Kapit,1,Alexander Nanta Linggi,ALEXANDER NANTA LINGGI,64.0,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),16522,1,won,0
927,Sarawak,P.216 Hulu Rajang,2,Ugak Anak Kumbong,UGAK ANAK KUMBONG,60.0,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),15456,1,won,0
929,Sarawak,P.217 Bintulu,2,Tiong King Sing,DATO SRI TIONG KING SING,61.0,male,chinese,GABUNGAN PARTI SARAWAK (GPS),43455,1,won,0
931,Sarawak,P.218 Sibuti,1,Lukanisman Bin Awang Sauni,LUKANISMAN BIN AWANG SAUNI,40.0,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),22150,1,won,0
936,Sarawak,P.219 Miri,3,Chiew Choon Man,CHIEW CHOON MAN,31.0,male,chinese,PAKATAN HARAPAN (PH),39549,1,won,1
937,Sarawak,P.220 Baram,1,Anyi Ngau,ANYI NGAU,64.0,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),18399,1,won,0
941,Sarawak,P.221 Limbang,2,Hasbi Bin Habibollah,HASBI BIN HABIBOLLAH,59.0,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),14897,1,won,0
944,Sarawak,P.222 Lawas,3,Henry Sum Agong,HENRY SUM AGONG,76.0,male,bumiputera,GABUNGAN PARTI SARAWAK (GPS),11361,1,won,0
