Coalition/Party,parlimen,percentage_votes
Parti Pejuang Tanah Air (PEJUANG),P.074 Lumut,0.54
Parti Pejuang Tanah Air (PEJUANG),P.076 Teluk Intan,1.24
Parti Pejuang Tanah Air (PEJUANG),P.077 Tanjong Malim,0.87
Parti Pejuang Tanah Air (PEJUANG),P.079 Lipis,0.73
Parti Pejuang Tanah Air (PEJUANG),P.080 Raub,0.76
Parti Pejuang Tanah Air (PEJUANG),P.082 Indera Mahkota,2.0
Parti Pejuang Tanah Air (PEJUANG),P.083 Kuantan,0.72
Parti Pejuang Tanah Air (PEJUANG),P.084 Paya Besar,0.5
Parti Pejuang Tanah Air (PEJUANG),P.085 Pekan,0.51
Parti Pejuang Tanah Air (PEJUANG),P.087 Kuala Krau,0.36
Parti Pejuang Tanah Air (PEJUANG),P.088 Temerloh,1.34
Parti Pejuang Tanah Air (PEJUANG),P.092 Sabak Bernam,1.12
Parti Pejuang Tanah Air (PEJUANG),P.093 Sungai Besar,0.44
Parti Pejuang Tanah Air (PEJUANG),P.094 Hulu Selangor,1.51
Parti Pejuang Tanah Air (PEJUANG),P.095 Tanjong Karang,6.95
Parti Pejuang Tanah Air (PEJUANG),P.096 Kuala Selangor,2.06
Parti Pejuang Tanah Air (PEJUANG),P.097 Selayang,1.78
Parti Pejuang Tanah Air (PEJUANG),P.098 Gombak,1.34
Parti Pejuang Tanah Air (PEJUANG),P.099 Ampang,2.54
Parti Pejuang Tanah Air (PEJUANG),P.100 Pandan,0.83
Parti Pejuang Tanah Air (PEJUANG),P.101 Hulu Langat,1.21
Parti Pejuang Tanah Air (PEJUANG),P.102 Bangi,1.29
Parti Pejuang Tanah Air (PEJUANG),P.105 Petaling Jaya,2.78
Parti Pejuang Tanah Air (PEJUANG),P.107 Sungai Buloh,0.64
Parti Pejuang Tanah Air (PEJUANG),P.108 Shah Alam,2.05
Parti Pejuang Tanah Air (PEJUANG),P.109 Kapar,0.64
Parti Pejuang Tanah Air (PEJUANG),P.111 Kota Raja,1.04
Parti Pejuang Tanah Air (PEJUANG),P.112 Kuala Langat,0.48
Parti Pejuang Tanah Air (PEJUANG),P.113 Sepang,1.69
Parti Pejuang Tanah Air (PEJUANG),P.115 Batu,0.97
Parti Pejuang Tanah Air (PEJUANG),P.116 Wangsa Maju,1.06
Parti Pejuang Tanah Air (PEJUANG),P.118 Setiawangsa,1.27
Parti Pejuang Tanah Air (PEJUANG),P.119 Titiwangsa,1.46
Parti Pejuang Tanah Air (PEJUANG),P.121 Lembah Pantai,1.06
Parti Pejuang Tanah Air (PEJUANG),P.125 Putrajaya,2.4
Parti Pejuang Tanah Air (PEJUANG),P.126 Jelebu,0.56
Parti Pejuang Tanah Air (PEJUANG),P.127 Jempol,0.91
Parti Pejuang Tanah Air (PEJUANG),P.128 Seremban,1.08
Parti Pejuang Tanah Air (PEJUANG),P.129 Kuala Pilah,0.83
Parti Pejuang Tanah Air (PEJUANG),P.131 Rembau,0.48
Parti Pejuang Tanah Air (PEJUANG),P.132 Port Dickson,1.35
Parti Pejuang Tanah Air (PEJUANG),P.133 Tampin,1.28
Parti Pejuang Tanah Air (PEJUANG),P.134 Masjid Tanah,0.93
Parti Pejuang Tanah Air (PEJUANG),P.135 Alor Gajah,0.44
Parti Pejuang Tanah Air (PEJUANG),P.136 Tangga Batu,0.76
Parti Pejuang Tanah Air (PEJUANG),P.137 Hang Tuah Jaya,0.78
Parti Pejuang Tanah Air (PEJUANG),P.139 Jasin,0.59
Parti Pejuang Tanah Air (PEJUANG),P.140 Segamat,2.1
Parti Pejuang Tanah Air (PEJUANG),P.141 Sekijang,0.29
Parti Pejuang Tanah Air (PEJUANG),P.144 Ledang,0.33
Parti Pejuang Tanah Air (PEJUANG),P.149 Sri Gading,0.5
Parti Pejuang Tanah Air (PEJUANG),P.150 Batu Pahat,0.41
Parti Pejuang Tanah Air (PEJUANG),P.151 Simpang Renggam,0.57
Parti Pejuang Tanah Air (PEJUANG),P.154 Mersing,0.45
Parti Pejuang Tanah Air (PEJUANG),P.155 Tenggara,0.69
Parti Pejuang Tanah Air (PEJUANG),P.159 Pasir Gudang,0.67
Parti Pejuang Tanah Air (PEJUANG),P.160 Johor Bahru,1.97
Parti Pejuang Tanah Air (PEJUANG),P.164 Pontian,0.54
Parti Pejuang Tanah Air (PEJUANG),P.166 Labuan,0.32
Parti Pejuang Tanah Air (PEJUANG),P.167 Kudat,0.63
Parti Pejuang Tanah Air (PEJUANG),P.168 Kota Marudu,0.56
Parti Pejuang Tanah Air (PEJUANG),P.170 Tuaran,0.76
Parti Pejuang Tanah Air (PEJUANG),P.171 Sepanggar,1.04
Parti Pejuang Tanah Air (PEJUANG),P.173 Putatan,0.96
Parti Pejuang Tanah Air (PEJUANG),P.175 Papar,1.8
Parti Pejuang Tanah Air (PEJUANG),P.176 Kimanis,0.49
Parti Pejuang Tanah Air (PEJUANG),P.179 Ranau,3.0
Parti Pejuang Tanah Air (PEJUANG),P.182 Pensiangan,0.33
Parti Pejuang Tanah Air (PEJUANG),P.183 Beluran,0.53
Parti Pejuang Tanah Air (PEJUANG),P.184 Libaran,1.85
Parti Pejuang Tanah Air (PEJUANG),P.185 Batu Sapi,0.65
Parti Pejuang Tanah Air (PEJUANG),P.189 Semporna,1.2
Parti Pejuang Tanah Air (PEJUANG),P.190 Tawau,2.11
Parti Pejuang Tanah Air (PEJUANG),P.191 Kalabakan,3.36
Parti Rakyat Malaysia (PRM),P.015 Sungai Petani,0.17
Parti Rakyat Malaysia (PRM),P.021 Kota Bharu,0.14
Parti Rakyat Malaysia (PRM),P.023 Rantau Panjang,0.29
Parti Rakyat Malaysia (PRM),P.046 Batu Kawan,0.22
Parti Rakyat Malaysia (PRM),P.048 Bukit Bendera,1.08
Parti Rakyat Malaysia (PRM),P.050 Jelutong,0.37
Parti Rakyat Malaysia (PRM),P.052 Bayan Baru,0.28
Parti Rakyat Malaysia (PRM),P.102 Bangi,0.31
Parti Rakyat Malaysia (PRM),P.105 Petaling Jaya,1.4
Parti Rakyat Malaysia (PRM),P.107 Sungai Buloh,0.22
Parti Rakyat Malaysia (PRM),P.110 Klang,0.17
Parti Rakyat Malaysia (PRM),P.111 Kota Raja,0.18
Parti Rakyat Malaysia (PRM),P.112 Kuala Langat,0.14
Parti Rakyat Malaysia (PRM),P.113 Sepang,0.12
Parti Rakyat Malaysia (PRM),P.115 Batu,0.16
Parti Rakyat Malaysia (PRM),P.150 Batu Pahat,0.26
Parti Sarawak Bersatu (PSB),P.195 Bandar Kuching,2.77
Parti Sarawak Bersatu (PSB),P.196 Stampin,3.11
Parti Sarawak Bersatu (PSB),P.198 Puncak Borneo,10.9
Parti Sarawak Bersatu (PSB),P.199 Serian,14.08
Parti Sarawak Bersatu (PSB),P.202 Sri Aman,31.62
Parti Sarawak Bersatu (PSB),P.203 Lubok Antu,33.92
Parti Sarawak Bersatu (PSB),P.211 Lanang,6.92
Parti Sarawak Bersatu (PSB),P.212 Sibu,16.88
Parti Sarawak Bersatu (PSB),P.219 Miri,6.67
Parti Sarawak Bersatu (PSB),P.222 Lawas,31.22
Parti Warisan (WARISAN),P.001 Padang Besar,0.54
Parti Warisan (WARISAN),P.002 Kangar,0.74
Parti Warisan (WARISAN),P.008 Pokok Sena,0.71
Parti Warisan (WARISAN),P.009 Alor Setar,0.48
Parti Warisan (WARISAN),P.010 Kuala Kedah,0.25
Parti Warisan (WARISAN),P.014 Merbok,0.51
Parti Warisan (WARISAN),P.017 Padang Serai,0.16
Parti Warisan (WARISAN),P.019 Tumpat,0.23
Parti Warisan (WARISAN),P.042 Tasek Gelugor,0.27
Parti Warisan (WARISAN),P.046 Batu Kawan,0.65
Parti Warisan (WARISAN),P.050 Jelutong,0.63
Parti Warisan (WARISAN),P.052 Bayan Baru,0.49
Parti Warisan (WARISAN),P.070 Kampar,1.1
Parti Warisan (WARISAN),P.071 Gopeng,0.61
Parti Warisan (WARISAN),P.072 Tapah,0.45
Parti Warisan (WARISAN),P.074 Lumut,0.5
Parti Warisan (WARISAN),P.099 Ampang,1.36
Parti Warisan (WARISAN),P.100 Pandan,2.87
Parti Warisan (WARISAN),P.101 Hulu Langat,0.27
Parti Warisan (WARISAN),P.109 Kapar,0.17
Parti Warisan (WARISAN),P.110 Klang,0.7
Parti Warisan (WARISAN),P.114 Kepong,0.73
Parti Warisan (WARISAN),P.115 Batu,0.66
Parti Warisan (WARISAN),P.116 Wangsa Maju,0.62
Parti Warisan (WARISAN),P.129 Kuala Pilah,0.68
Parti Warisan (WARISAN),P.141 Sekijang,0.7
Parti Warisan (WARISAN),P.166 Labuan,25.7
Parti Warisan (WARISAN),P.167 Kudat,20.89
Parti Warisan (WARISAN),P.168 Kota Marudu,10.65
Parti Warisan (WARISAN),P.169 Kota Belud,46.54
Parti Warisan (WARISAN),P.170 Tuaran,9.84
Parti Warisan (WARISAN),P.171 Sepanggar,26.45
Parti Warisan (WARISAN),P.172 Kota Kinabalu,17.17
Parti Warisan (WARISAN),P.173 Putatan,20.63
Parti Warisan (WARISAN),P.174 Penampang,28.89
Parti Warisan (WARISAN),P.175 Papar,23.89
Parti Warisan (WARISAN),P.176 Kimanis,32.08
Parti Warisan (WARISAN),P.177 Beaufort,7.35
Parti Warisan (WARISAN),P.178 Sipitang,33.61
Parti Warisan (WARISAN),P.179 Ranau,6.28
Parti Warisan (WARISAN),P.180 Keningau,12.79
Parti Warisan (WARISAN),P.181 Tenom,3.46
Parti Warisan (WARISAN),P.182 Pensiangan,4.07
Parti Warisan (WARISAN),P.183 Beluran,12.64
Parti Warisan (WARISAN),P.184 Libaran,20.63
Parti Warisan (WARISAN),P.185 Batu Sapi,26.7
Parti Warisan (WARISAN),P.186 Sandakan,18.25
Parti Warisan (WARISAN),P.187 Kinabatangan,42.62
Parti Warisan (WARISAN),P.188 Lahad Datu,46.64
Parti Warisan (WARISAN),P.189 Semporna,73.77
Parti Warisan (WARISAN),P.190 Tawau,22.22
Parti Warisan (WARISAN),P.191 Kalabakan,29.49
Perikatan Nasional (PN),P.001 Padang Besar,53.58
Perikatan Nasional (PN),P.002 Kangar,43.7
Perikatan Nasional (PN),P.003 Arau,67.23
Perikatan Nasional (PN),P.004 Langkawi,53.63
Perikatan Nasional (PN),P.005 Jerlun,60.69
Perikatan Nasional (PN),P.006 Kubang Pasu,57.05
Perikatan Nasional (PN),P.007 Padang Terap,58.03
Perikatan Nasional (PN),P.008 Pokok Sena,59.44
Perikatan Nasional (PN),P.009 Alor Setar,48.69
Perikatan Nasional (PN),P.010 Kuala Kedah,56.03
Perikatan Nasional (PN),P.011 Pendang,64.83
Perikatan Nasional (PN),P.012 Jerai,60.1
Perikatan Nasional (PN),P.013 Sik,67.64
Perikatan Nasional (PN),P.014 Merbok,51.27
Perikatan Nasional (PN),P.015 Sungai Petani,38.05
Perikatan Nasional (PN),P.016 Baling,59.13
Perikatan Nasional (PN),P.017 Padang Serai,56.49
Perikatan Nasional (PN),P.018 Kulim-Bandar Baharu,49.0
Perikatan Nasional (PN),P.041 Kepala Batas,41.27
Perikatan Nasional (PN),P.042 Tasek Gelugor,46.36
Perikatan Nasional (PN),P.043 Bagan,8.96
Perikatan Nasional (PN),P.044 Permatang Pauh,43.04
Perikatan Nasional (PN),P.045 Bukit Mertajam,15.14
Perikatan Nasional (PN),P.046 Batu Kawan,15.03
Perikatan Nasional (PN),P.047 Nibong Tebal,32.65
Perikatan Nasional (PN),P.048 Bukit Bendera,10.79
Perikatan Nasional (PN),P.049 Tanjong,6.64
Perikatan Nasional (PN),P.050 Jelutong,16.64
Perikatan Nasional (PN),P.051 Bukit Gelugor,9.4
Perikatan Nasional (PN),P.052 Bayan Baru,22.64
Perikatan Nasional (PN),P.053 Balik Pulau,35.96
Perikatan Nasional (PN),P.054 Gerik,43.64
Perikatan Nasional (PN),P.055 Lenggong,42.3
Perikatan Nasional (PN),P.056 Larut,54.65
Perikatan Nasional (PN),P.057 Parit Buntar,43.9
Perikatan Nasional (PN),P.058 Bagan Serai,53.98
Perikatan Nasional (PN),P.059 Bukit Gantang,45.59
Perikatan Nasional (PN),P.060 Taiping,25.44
Perikatan Nasional (PN),P.061 Padang Rengas,43.28
Perikatan Nasional (PN),P.062 Sungai Siput,15.86
Perikatan Nasional (PN),P.063 Tambun,36.78
Perikatan Nasional (PN),P.064 Ipoh Timor,17.12
Perikatan Nasional (PN),P.065 Ipoh Barat,8.7
Perikatan Nasional (PN),P.066 Batu Gajah,9.56
Perikatan Nasional (PN),P.067 Kuala Kangsar,40.22
Perikatan Nasional (PN),P.068 Beruas,17.65
Perikatan Nasional (PN),P.069 Parit,45.76
Perikatan Nasional (PN),P.070 Kampar,20.42
Perikatan Nasional (PN),P.071 Gopeng,27.72
Perikatan Nasional (PN),P.072 Tapah,27.24
Perikatan Nasional (PN),P.073 Pasir Salak,43.66
Perikatan Nasional (PN),P.074 Lumut,35.43
Perikatan Nasional (PN),P.075 Bagan Datuk,21.08
Perikatan Nasional (PN),P.076 Teluk Intan,27.98
Perikatan Nasional (PN),P.077 Tanjong Malim,31.0
Perikatan Nasional (PN),P.078 Cameron Highlands,16.74
Perikatan Nasional (PN),P.079 Lipis,32.22
Perikatan Nasional (PN),P.080 Raub,30.69
Perikatan Nasional (PN),P.081 Jerantut,47.49
Perikatan Nasional (PN),P.082 Indera Mahkota,44.65
Perikatan Nasional (PN),P.083 Kuantan,37.65
Perikatan Nasional (PN),P.084 Paya Besar,41.27
Perikatan Nasional (PN),P.085 Pekan,41.35
Perikatan Nasional (PN),P.086 Maran,47.7
Perikatan Nasional (PN),P.087 Kuala Krau,47.13
Perikatan Nasional (PN),P.088 Temerloh,37.43
Perikatan Nasional (PN),P.089 Bentong,24.35
Perikatan Nasional (PN),P.090 Bera,21.36
Perikatan Nasional (PN),P.091 Rompin,47.2
Perikatan Nasional (PN),P.092 Sabak Bernam,43.86
Perikatan Nasional (PN),P.093 Sungai Besar,38.75
Perikatan Nasional (PN),P.094 Hulu Selangor,38.24
Perikatan Nasional (PN),P.095 Tanjong Karang,35.26
Perikatan Nasional (PN),P.096 Kuala Selangor,27.33
Perikatan Nasional (PN),P.097 Selayang,33.93
Perikatan Nasional (PN),P.098 Gombak,35.99
Perikatan Nasional (PN),P.099 Ampang,25.92
Perikatan Nasional (PN),P.100 Pandan,22.23
Perikatan Nasional (PN),P.101 Hulu Langat,31.79
Perikatan Nasional (PN),P.102 Bangi,29.42
Perikatan Nasional (PN),P.103 Puchong,15.1
Perikatan Nasional (PN),P.104 Subang,13.03
Perikatan Nasional (PN),P.105 Petaling Jaya,22.44
Perikatan Nasional (PN),P.106 Damansara,10.44
Perikatan Nasional (PN),P.107 Sungai Buloh,22.42
Perikatan Nasional (PN),P.108 Shah Alam,31.9
Perikatan Nasional (PN),P.109 Kapar,41.61
Perikatan Nasional (PN),P.110 Klang,14.48
Perikatan Nasional (PN),P.111 Kota Raja,24.94
Perikatan Nasional (PN),P.112 Kuala Langat,42.68
Perikatan Nasional (PN),P.113 Sepang,34.3
Perikatan Nasional (PN),P.114 Kepong,3.86
Perikatan Nasional (PN),P.115 Batu,26.94
Perikatan Nasional (PN),P.116 Wangsa Maju,27.32
Perikatan Nasional (PN),P.117 Segambut,10.24
Perikatan Nasional (PN),P.118 Setiawangsa,29.79
Perikatan Nasional (PN),P.119 Titiwangsa,23.86
Perikatan Nasional (PN),P.120 Bukit Bintang,8.05
Perikatan Nasional (PN),P.121 Lembah Pantai,24.9
Perikatan Nasional (PN),P.122 Seputeh,6.91
Perikatan Nasional (PN),P.123 Cheras,8.15
Perikatan Nasional (PN),P.124 Bandar Tun Razak,36.18
Perikatan Nasional (PN),P.125 Putrajaya,43.67
Perikatan Nasional (PN),P.126 Jelebu,21.17
Perikatan Nasional (PN),P.127 Jempol,23.29
Perikatan Nasional (PN),P.128 Seremban,26.83
Perikatan Nasional (PN),P.129 Kuala Pilah,23.76
Perikatan Nasional (PN),P.130 Rasah,15.72
Perikatan Nasional (PN),P.131 Rembau,19.99
Perikatan Nasional (PN),P.132 Port Dickson,22.74
Perikatan Nasional (PN),P.133 Tampin,24.51
Perikatan Nasional (PN),P.134 Masjid Tanah,46.77
Perikatan Nasional (PN),P.135 Alor Gajah,23.58
Perikatan Nasional (PN),P.136 Tangga Batu,40.65
Perikatan Nasional (PN),P.137 Hang Tuah Jaya,24.92
Perikatan Nasional (PN),P.138 Kota Melaka,22.39
Perikatan Nasional (PN),P.139 Jasin,35.95
Perikatan Nasional (PN),P.140 Segamat,16.55
Perikatan Nasional (PN),P.141 Sekijang,24.07
Perikatan Nasional (PN),P.142 Labis,15.29
Perikatan Nasional (PN),P.143 Pagoh,45.94
Perikatan Nasional (PN),P.144 Ledang,27.76
Perikatan Nasional (PN),P.145 Bakri,23.55
Perikatan Nasional (PN),P.146 Muar,35.02
Perikatan Nasional (PN),P.147 Parit Sulong,37.68
Perikatan Nasional (PN),P.148 Ayer Hitam,25.34
Perikatan Nasional (PN),P.149 Sri Gading,30.16
Perikatan Nasional (PN),P.150 Batu Pahat,29.42
Perikatan Nasional (PN),P.151 Simpang Renggam,20.57
Perikatan Nasional (PN),P.152 Kluang,23.03
Perikatan Nasional (PN),P.153 Sembrong,16.29
Perikatan Nasional (PN),P.154 Mersing,44.91
Perikatan Nasional (PN),P.155 Tenggara,35.43
Perikatan Nasional (PN),P.156 Kota Tinggi,35.96
Perikatan Nasional (PN),P.157 Pengerang,39.98
Perikatan Nasional (PN),P.158 Tebrau,31.7
Perikatan Nasional (PN),P.159 Pasir Gudang,26.58
Perikatan Nasional (PN),P.160 Johor Bahru,23.39
Perikatan Nasional (PN),P.161 Pulai,17.63
Perikatan Nasional (PN),P.162 Iskandar Puteri,18.38
Perikatan Nasional (PN),P.163 Kulai,17.54
Perikatan Nasional (PN),P.164 Pontian,30.68
Perikatan Nasional (PN),P.165 Tanjung Piai,25.21
Perikatan Nasional (PN),P.166 Labuan,28.56
Perikatan Nasional (PN),P.183 Beluran,38.53
Perikatan Nasional (PN),P.201 Batang Lupar,18.74
Perikatan Nasional (PN),P.203 Lubok Antu,27.78
Perikatan Nasional (PN),P.205 Saratok,62.33
Perikatan Nasional (PN),P.217 Bintulu,8.03
